id,date,client,produit,canal,region,commercial,statut,montant,duree_jours,satisfaction
CMD-0001,2026-03-12,PME Logistique,Maintenance site,Codeur.com,Hauts-de-France,Yanis,Payé,78,11,5
CMD-0002,2026-01-09,Cabinet Martin,Export PDF,LinkedIn,Hauts-de-France,Sofia,Payé,194,9,5
CMD-0003,2026-05-20,Auto-école République,Site vitrine,Codeur.com,Grand Est,Nabil,Payé,553,1,3
CMD-0004,2026-02-09,Coach Performance,Correction bug,Bouche à oreille,Île-de-France,Yanis,Payé,148,7,3
CMD-0005,2026-01-12,Librairie du Centre,Landing page,Malt,Île-de-France,Emma,Payé,476,2,5
CMD-0006,2026-01-18,Garage Lenoir,Formulaire web,Codeur.com,Normandie,Yanis,Payé,620,4,3
CMD-0007,2026-04-04,Boulangerie Moreau,Script Python,Bouche à oreille,Normandie,Sofia,Payé,262,11,4
CMD-0008,2026-02-13,SAS Lumina,Correction bug,Codeur.com,Hauts-de-France,Emma,Payé,214,7,4
CMD-0009,2026-03-25,Garage Lenoir,Maintenance site,Codeur.com,Île-de-France,Nabil,Payé,226,7,4
CMD-0010,2026-05-26,Clinique Belleville,Automatisation Excel,Codeur.com,Grand Est,Emma,En attente,308,11,
CMD-0011,2026-03-05,SAS Lumina,Outil candidatures,Malt,Normandie,Emma,Payé,746,10,4
CMD-0012,2026-02-05,Pharmacie Rivoli,Landing page,Site web,Île-de-France,Yanis,Annulé,0,2,
CMD-0013,2026-04-19,Atelier Bois & Design,Automatisation CSV,LinkedIn,Grand Est,Emma,Payé,501,10,4
CMD-0014,2026-01-03,Association Horizon,Export PDF,Malt,Normandie,Nabil,Annulé,0,2,
CMD-0015,2026-01-01,École privée Saint-Rémy,Formulaire web,Malt,Hauts-de-France,Yanis,Payé,695,11,4
CMD-0016,2026-02-09,Restaurant Le Safran,Maintenance site,Codeur.com,Nouvelle-Aquitaine,Yanis,Payé,179,10,4
CMD-0017,2026-04-03,Consultant Finance,Outil candidatures,Codeur.com,Île-de-France,Sofia,Payé,619,10,3
CMD-0018,2026-01-18,SAS Lumina,Automatisation Excel,Codeur.com,Hauts-de-France,Emma,Payé,574,9,3
CMD-0019,2026-04-19,Coach Performance,Formulaire web,Malt,Hauts-de-France,Nabil,En attente,790,7,
CMD-0020,2026-05-13,Librairie du Centre,Maintenance site,LinkedIn,Hauts-de-France,Sofia,Payé,216,2,4
